Municipios;Sexo;Periodo;Total
29007 Alhaurín de la Torre;Hombres;2005;14.262
29007 Alhaurín de la Torre;Hombres;2004;13.352
29007 Alhaurín de la Torre;Hombres;2003;12.664
29007 Alhaurín de la Torre;Hombres;2002;11.850
29007 Alhaurín de la Torre;Hombres;2001;11.299
29007 Alhaurín de la Torre;Hombres;2000;10.796
29007 Alhaurín de la Torre;Hombres;1999;10.040
29007 Alhaurín de la Torre;Hombres;1998;9.431
29007 Alhaurín de la Torre;Hombres;1997;""
29007 Alhaurín de la Torre;Hombres;1996;8.477
29007 Alhaurín de la Torre;Mujeres;2022;21.378
29007 Alhaurín de la Torre;Mujeres;2021;21.066
29007 Alhaurín de la Torre;Mujeres;2020;20.733
29007 Alhaurín de la Torre;Mujeres;2019;20.298
29007 Alhaurín de la Torre;Mujeres;2018;20.081
29007 Alhaurín de la Torre;Mujeres;2017;19.695
29007 Alhaurín de la Torre;Mujeres;2016;19.485
29007 Alhaurín de la Torre;Mujeres;2015;19.361
29007 Alhaurín de la Torre;Mujeres;2014;19.230
29007 Alhaurín de la Torre;Mujeres;2013;19.062
29007 Alhaurín de la Torre;Mujeres;2012;18.732
29007 Alhaurín de la Torre;Mujeres;2011;18.384
29007 Alhaurín de la Torre;Mujeres;2010;17.893
29007 Alhaurín de la Torre;Mujeres;2009;17.552
29007 Alhaurín de la Torre;Mujeres;2008;16.780
29007 Alhaurín de la Torre;Mujeres;2007;15.873
29007 Alhaurín de la Torre;Mujeres;2006;15.116
29007 Alhaurín de la Torre;Mujeres;2005;14.247
29007 Alhaurín de la Torre;Mujeres;2004;13.412
29007 Alhaurín de la Torre;Mujeres;2003;12.737
29007 Alhaurín de la Torre;Mujeres;2002;11.924
29007 Alhaurín de la Torre;Mujeres;2001;11.355
29007 Alhaurín de la Torre;Mujeres;2000;10.853
29007 Alhaurín de la Torre;Mujeres;1999;10.152
29007 Alhaurín de la Torre;Mujeres;1998;9.593
29007 Alhaurín de la Torre;Mujeres;1997;""
29007 Alhaurín de la Torre;Mujeres;1996;8.437
29008 Alhaurín el Grande;Total;2022;26.436
29008 Alhaurín el Grande;Total;2021;26.095
29008 Alhaurín el Grande;Total;2020;25.358
29008 Alhaurín el Grande;Total;2019;24.705
29008 Alhaurín el Grande;Total;2018;24.123
29008 Alhaurín el Grande;Total;2017;24.720
29008 Alhaurín el Grande;Total;2016;24.315
29008 Alhaurín el Grande;Total;2015;24.338
